Hourly Dry Bulb (deg C),Hourly Wet Bulb (deg C),Hourly Direct Normal Irradiance (W/m2),Hourly Diffuse Horizontal Irradiance (W/m2),Hourly Global Horizontal Irradiance (W/m2),Hourly Albedo,Hourly Wind Speed (m/s),Hourly Ground Temp (deg C),Hourly Mains Water Temp (deg C)
6.991666667,5.982194275,0,0,0,0.16,0,19.905,18.27758815
7.2,6.439291136,0,0,0,0.16,2.1,19.905,18.27758815
6.908333333,6.111765007,0,0,0,0.16,2.1,19.905,18.27758815
6.35,5.712348784,0,0,0,0.16,1.5,19.905,18.27758815
5.108333333,4.781481065,0,0,0,0.16,3.1,19.905,18.27758815
4.4,4.19719365,0,0,0,0.16,2.1,19.905,18.27758815
5.391666667,4.846035241,0,0,0,0.16,0,19.905,18.27758815
5.458333333,4.550233261,69,1,2,0.16,0,19.905,18.27758815
6.633333333,5.406157067,477,39,121,0.16,0,19.905,18.27758815
8.441666667,7.186370904,651,71,276,0.16,0,19.905,18.27758815
9.191666667,8.04051346,677,104,387,0.16,1.5,19.905,18.27758815
9.75,8.424812633,542,159,419,0.16,1.5,19.905,18.27758815
10.35,8.886896365,532,156,417,0.16,1.5,19.905,18.27758815
10.89166667,9.400491289,543,152,397,0.16,0,19.905,18.27758815
12.73333333,9.382151735,643,117,352,0.16,0,19.905,18.27758815
13.9,8.71147399,449,97,204,0.16,3.1,19.905,18.27758815
12.26666667,8.697726383,0,0,0,0.16,3.1,19.905,18.27758815
11.1,8.498375027,0,0,0,0.16,1.5,19.905,18.27758815
10.80833333,7.433957581,0,0,0,0.16,1.5,19.905,18.27758815
10.6,6.982585855,0,0,0,0.16,2.1,19.905,18.27758815
9.608333333,6.498386169,0,0,0,0.16,2.1,19.905,18.27758815
9.191666667,6.057322024,0,0,0,0.16,2.1,19.905,18.27758815
8.466666667,5.982142536,0,0,0,0.16,1.5,19.905,18.27758815
7.158333333,5.580027941,0,0,0,0.16,2.6,19.905,18.27758815
7.983333333,6.607097253,0,0,0,0.16,2.1,19.905,18.26057275
7.266666667,5.778513402,0,0,0,0.16,0,19.905,18.26057275
5.808333333,4.535730549,0,0,0,0.16,0,19.905,18.26057275
4.608333333,3.613112485,0,0,0,0.16,0,19.905,18.26057275
4.891666667,3.872765947,0,0,0,0.16,1.5,19.905,18.26057275
6.533333333,5.189969722,0,0,0,0.16,3.1,19.905,18.26057275
7.55,5.564259128,0,0,0,0.16,4.1,19.905,18.26057275
7.45,5.592754597,72,1,2,0.16,5.7,19.905,18.26057275
9.183333333,6.385261003,402,45,114,0.16,6.2,19.905,18.26057275
11.24166667,7.251267899,590,85,271,0.16,5.2,19.905,18.26057275
12.98333333,7.892221195,490,144,349,0.16,3.6,19.905,18.26057275
13.9,8.287874849,667,133,453,0.16,4.1,19.905,18.26057275
13.9,8.690309153,708,119,466,0.16,0,19.905,18.26057275
13.9,9.004888671,395,191,370,0.16,2.1,19.905,18.26057275
12.90833333,9.529311308,508,127,313,0.16,2.1,19.905,18.26057275
12.55,9.400801689,410,103,202,0.16,3.1,19.905,18.26057275
11.80833333,9.095770034,0,0,0,0.16,4.1,19.905,18.26057275
10.80833333,8.775169994,0,0,0,0.16,0,19.905,18.26057275
11.24166667,8.290858279,0,0,0,0.16,0,19.905,18.26057275
11.7,7.646388525,0,0,0,0.16,1.5,19.905,18.26057275
10.70833333,7.618206705,0,0,0,0.16,1.5,19.905,18.26057275
9.358333333,7.767431115,0,0,0,0.16,0,19.905,18.26057275
9.191666667,7.741830995,0,0,0,0.16,0,19.905,18.26057275
9.108333333,7.103648771,0,0,0,0.16,0,19.905,18.26057275
9.191666667,7.281316638,0,0,0,0.16,2.6,19.905,18.24406456
9.75,7.435996969,0,0,0,0.16,5.2,19.905,18.24406456
11.28333333,7.508876974,0,0,0,0.16,1.5,19.905,18.24406456
13.19166667,7.795961891,0,0,0,0.16,8.2,19.905,18.24406456
13.25833333,7.927610906,0,0,0,0.16,11.3,19.905,18.24406456
12.45,7.795947225,0,0,0,0.16,10.3,19.905,18.24406456
11.55833333,7.485294442,0,0,0,0.16,10.3,19.905,18.24406456
11.1,7.05597704,68,1,2,0.16,8.2,19.905,18.24406456
11.45,6.912493288,328,51,107,0.16,4.1,19.905,18.24406456
